"","pid","date","condition","tstamp","uid","opens","consumetime","newtweets","compose","reply","likes","retweet","follow","unfollow","statPageView","dialogExit","dialogIgnore","avgAttentionScore","logAtnScore","consumetimeHours"
"79","pilot10","4/29","3",1619717208000015,"30ae3a1e50aba3b4cbdbbead54e2bb0d",2,340,36,0,0,1,0,0,0,5,2,2,4,1.38629436111989,0.0944444444444444
"80","pilot11","05/12","1",1.62089e+15,"457846cc9857b794b3e7eeb7d86799da",11,622,24,0,0,0,0,0,0,16,0,0,1,0,0.172777777777778
"81","pilot11","05/17","1",1621310682898009,"457846cc9857b794b3e7eeb7d86799da",18,2113,33,0,1,10,7,0,0,34,0,5,1,0,0.586944444444444
"82","pilot11","05/19","1",1.62148e+15,"457846cc9857b794b3e7eeb7d86799da",7,239,12,0,0,0,0,0,0,9,0,0,1,0,0.0663888888888889
"83","pilot11","05/20","0",1621544813697006,"457846cc9857b794b3e7eeb7d86799da",6,262,12,0,0,0,0,0,0,1,NA,NA,1,0,0.0727777777777778
"84","pilot11","05/24","0",1621848485693045,"457846cc9857b794b3e7eeb7d86799da",5,318,8,0,0,0,0,0,0,NA,NA,NA,1,0,0.0883333333333333
"85","pilot11","4/28","3",1619666653582065,"457846cc9857b794b3e7eeb7d86799da",20,1169,19,0,0,0,0,0,0,1,0,2,4,1.38629436111989,0.324722222222222
"86","pilot12","05/01","3",1619870266870148,"cf04ec0b46aaa7e49cc141389a11c7e4",5,822,18,0,0,1,0,0,0,1,0,0,4,1.38629436111989,0.228333333333333
"87","pilot12","05/10","2",1620638817561112,"cf04ec0b46aaa7e49cc141389a11c7e4",7,379,39,0,0,0,0,0,0,NA,NA,NA,5,1.6094379124341,0.105277777777778
"88","pilot12","05/15","1",1621149792374064,"cf04ec0b46aaa7e49cc141389a11c7e4",4,865,38,0,2,13,0,0,0,4,0,0,4.5,1.50407739677627,0.240277777777778
"89","pilot12","05/16","1",1621232857695039,"cf04ec0b46aaa7e49cc141389a11c7e4",3,393,4,0,2,13,1,0,0,4,0,0,4,1.38629436111989,0.109166666666667
"90","pilot12","05/27","0",1622103219930004,"cf04ec0b46aaa7e49cc141389a11c7e4",2,189,24,0,0,2,0,0,0,NA,NA,NA,4,1.38629436111989,0.0525
"91","pilot12","4/30","3",1619812762667022,"cf04ec0b46aaa7e49cc141389a11c7e4",2,307,18,0,0,1,0,0,0,0,0,0,3,1.09861228866811,0.0852777777777778
"92","pilot21","05/01","1",1619905574048051,"565651299b04c0752dfa7508b4bb459c",1,355,4,0,0,1,0,0,0,1,0,0,1,0,0.0986111111111111
"93","pilot21","05/07","3",1620441182870037,"565651299b04c0752dfa7508b4bb459c",2,1068,19,0,0,1,0,1,0,5,0,0,1,0,0.296666666666667
"94","pilot21","05/17","2",1.6213e+15,"565651299b04c0752dfa7508b4bb459c",3,461,19,0,0,0,0,0,0,NA,NA,NA,1,0,0.128055555555556
