"","X","pid","date","condition","ts","uid","internal","external","feedname","feedname_general","ft","ftah","avgAttentionScore","fthrs","ftmin","ftahhrs","ftahmin","scrolledIntoOld"
"39",39,"p02","05/17",1,1621256641167006,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",13,NA,5,0.00361111111111111,0.216666666666667,NA,NA,"no"
"40",40,"p02","05/17",1,1621256663446017,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"41",41,"p02","05/18",0,1621399749116021,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",1,1,5,0.000277777777777778,0.0166666666666667,0.000277777777777778,0.0166666666666667,"yes"
"42",42,"p02","05/18",0,1621397959971003,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",158,98,5,0.0438888888888889,2.63333333333333,0.0272222222222222,1.63333333333333,"yes"
"43",43,"p02","05/18",0,1621398017467011,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",25,6,5,0.00694444444444444,0.416666666666667,0.00166666666666667,0.1,"yes"
"44",44,"p02","05/18",0,1.62137e+15,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",46,46,5,0.0127777777777778,0.766666666666667,0.0127777777777778,0.766666666666667,"yes"
"45",45,"p02","05/18",0,1621397991573007,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",2,NA,5,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"46",46,"p02","05/18",0,1621397961727006,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"47",47,"p03","05/01",3,1619875139845004,"690bbbd4d2323faf5f29abe6664c3368","1",1,"1386754307702284292","list",59,32,1,0.0163888888888889,0.983333333333333,0.00888888888888889,0.533333333333333,"yes"
"48",48,"p03","05/03",2,1620068123045006,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",16,16,1,0.00444444444444444,0.266666666666667,0.00444444444444444,0.266666666666667,"yes"
"49",49,"p03","05/03",2,1620096786135004,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",2,1,1,0.000555555555555556,0.0333333333333333,0.000277777777777778,0.0166666666666667,"yes"
"50",50,"p03","05/03",2,1.62007e+15,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386754307702284292","list",94,NA,1,0.0261111111111111,1.56666666666667,NA,NA,"no"
"51",51,"p03","05/03",2,1620068657427007,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",16,16,1,0.00444444444444444,0.266666666666667,0.00444444444444444,0.266666666666667,"yes"
"52",52,"p03","05/03",2,1620068733835029,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386754307702284292","list",26,15,1,0.00722222222222222,0.433333333333333,0.00416666666666667,0.25,"yes"
"53",53,"p03","05/03",2,1620096793864006,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1389294864878219271","list",2,NA,1,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"54",54,"p03","05/03",2,1620096790972005,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386754307702284292","list",4,4,1,0.00111111111111111,0.0666666666666667,0.00111111111111111,0.0666666666666667,"yes"
